=== Model: RandomForest ===

--- Group 1 ---
36. is_domain_ip: 0.000078 ± 0.000051
37. se_fragment: 0.000006 ± 0.000000

--- Group 2 ---
1. cte_domain: 0.102729 ± 0.000687
2. is_https: 0.102160 ± 0.000395
3. domain_length: 0.081404 ± 0.000645
4. subdomains: 0.031879 ± 0.000299
5. uppercase: 0.027944 ± 0.000356
6. dots: 0.025156 ± 0.000185
7. hyphens: 0.022534 ± 0.000310
8. digits: 0.017268 ± 0.000406
9. se_domain: 0.014378 ± 0.000362
10. slashes: 0.010267 ± 0.000180
11. char_to_length_ratio: 0.006851 ± 0.000163
12. path_depth: 0.006392 ± 0.000178
13. equals: 0.005966 ± 0.000101
14. underscore: 0.005714 ± 0.000215
15. path_length: 0.004412 ± 0.000168
16. se_path: 0.004411 ± 0.000191
17. percent: 0.004121 ± 0.000107
18. is_mtld: 0.003967 ± 0.000144
19. digit_to_length_ratio: 0.003497 ± 0.000178
20. question_marks: 0.003000 ± 0.000139
21. upper_to_lower_ratio: 0.002400 ± 0.000307
22. se_url: 0.002314 ± 0.000154
23. is_tld_iana_reg: 0.001864 ± 0.000094
24. query_count: 0.001760 ± 0.000034
25. se_query: 0.001588 ± 0.000153
26. query_length: 0.001523 ± 0.000169
27. url_length: 0.001280 ± 0.000077
28. lowercase: 0.001119 ± 0.000079
29. tilde: 0.001106 ± 0.000101
30. at: 0.000792 ± 0.000059
31. special_chars: 0.000718 ± 0.000021
32. colons: 0.000567 ± 0.000037
33. and: 0.000564 ± 0.000043
34. is_domain_ip: 0.000384 ± 0.000095
35. specialchar_to_length_ratio: 0.000277 ± 0.000024
36. fragment_length: 0.000223 ± 0.000022
37. se_fragment: 0.000007 ± 0.000002

--- Group 3 ---
1. cte_domain: 0.108289 ± 0.000602
2. is_https: 0.103984 ± 0.000504
3. domain_length: 0.079406 ± 0.000620
4. subdomains: 0.031873 ± 0.000494
5. uppercase: 0.028529 ± 0.000321
6. dots: 0.024944 ± 0.000314
7. hyphens: 0.021740 ± 0.000267
8. digits: 0.018103 ± 0.000246
9. se_domain: 0.016114 ± 0.000375
10. slashes: 0.009696 ± 0.000251
11. char_to_length_ratio: 0.006763 ± 0.000192
12. path_depth: 0.006534 ± 0.000327
13. underscore: 0.006158 ± 0.000173
14. equals: 0.005920 ± 0.000115
15. percent: 0.004606 ± 0.000147
16. is_mtld: 0.004556 ± 0.000193
17. se_path: 0.004348 ± 0.000250
18. digit_to_length_ratio: 0.004339 ± 0.000300
19. path_length: 0.003266 ± 0.000150
20. upper_to_lower_ratio: 0.002540 ± 0.000104
21. se_url: 0.002404 ± 0.000111
22. is_tld_iana_reg: 0.001870 ± 0.000073
23. lowercase: 0.001680 ± 0.000068
24. query_length: 0.001439 ± 0.000089
25. question_marks: 0.001371 ± 0.000174
26. se_query: 0.001368 ± 0.000173
27. tilde: 0.001292 ± 0.000033
28. url_length: 0.001224 ± 0.000044
29. query_count: 0.001077 ± 0.000084
30. at: 0.000802 ± 0.000049
31. special_chars: 0.000553 ± 0.000035
32. colons: 0.000531 ± 0.000063
33. and: 0.000407 ± 0.000113
34. fragment_length: 0.000269 ± 0.000028
35. is_domain_ip: 0.000230 ± 0.000083
36. specialchar_to_length_ratio: 0.000206 ± 0.000064
37. se_fragment: 0.000004 ± 0.000005


=== Model: LogisticRegression ===

--- Group 1 ---
1. url_length: 0.247054 ± 0.000659
2. is_https: 0.162011 ± 0.001150
3. path_length: 0.148721 ± 0.000633
4. query_length: 0.055030 ± 0.000664
5. query_count: 0.053103 ± 0.000629
6. hyphens: 0.052460 ± 0.000557
7. subdomains: 0.044518 ± 0.000587
8. and: 0.034543 ± 0.000406
9. dots: 0.029300 ± 0.000624
10. se_domain: 0.025926 ± 0.000366
11. domain_length: 0.025256 ± 0.000399
12. lowercase: 0.024144 ± 0.000691
13. cte_domain: 0.023112 ± 0.000170
14. uppercase: 0.021278 ± 0.000151
15. digit_to_length_ratio: 0.021193 ± 0.000223
16. digits: 0.017410 ± 0.000239
17. se_path: 0.010694 ± 0.000165
18. percent: 0.008662 ± 0.000100
19. underscore: 0.007317 ± 0.000425
20. question_marks: 0.007078 ± 0.000128
21. is_domain_ip: 0.004830 ± 0.000028
22. char_to_length_ratio: 0.003989 ± 0.000126
23. is_mtld: 0.003673 ± 0.000237
24. slashes: 0.002300 ± 0.000248
25. upper_to_lower_ratio: 0.002198 ± 0.000152
26. is_tld_iana_reg: 0.001042 ± 0.000097
27. special_chars: 0.000828 ± 0.000089
28. equals: 0.000656 ± 0.000201
29. colons: 0.000540 ± 0.000033
30. at: 0.000497 ± 0.000083
31. path_depth: 0.000408 ± 0.000102
32. fragment_length: 0.000403 ± 0.000059
33. tilde: 0.000307 ± 0.000054
34. se_query: 0.000301 ± 0.000040
35. se_fragment: 0.000200 ± 0.000063
36. specialchar_to_length_ratio: 0.000019 ± 0.000003
37. se_url: -0.000037 ± 0.000050

--- Group 2 ---
1. url_length: 0.192458 ± 0.000844
2. is_https: 0.160167 ± 0.000742
3. path_length: 0.147112 ± 0.000496
4. query_length: 0.054297 ± 0.000362
5. query_count: 0.054024 ± 0.000324
6. digits: 0.051113 ± 0.000327
7. hyphens: 0.048691 ± 0.000567
8. subdomains: 0.046500 ± 0.000562
9. and: 0.034926 ± 0.000396
10. dots: 0.031748 ± 0.000321
11. digit_to_length_ratio: 0.029164 ± 0.000282
12. domain_length: 0.027890 ± 0.000331
13. uppercase: 0.026807 ± 0.000199
14. se_domain: 0.024346 ± 0.000335
15. cte_domain: 0.024342 ± 0.000576
16. se_path: 0.010421 ± 0.000352
17. lowercase: 0.009611 ± 0.000280
18. char_to_length_ratio: 0.008952 ± 0.000330
19. percent: 0.008202 ± 0.000273
20. underscore: 0.006547 ± 0.000123
21. is_domain_ip: 0.006541 ± 0.000108
22. question_marks: 0.005772 ± 0.000194
23. is_mtld: 0.003948 ± 0.000208
24. slashes: 0.003710 ± 0.000323
25. upper_to_lower_ratio: 0.001262 ± 0.000116
26. is_tld_iana_reg: 0.001076 ± 0.000108
27. se_query: 0.001011 ± 0.000198
28. tilde: 0.000798 ± 0.000053
29. special_chars: 0.000704 ± 0.000068
30. equals: 0.000617 ± 0.000211
31. se_fragment: 0.000599 ± 0.000027
32. colons: 0.000504 ± 0.000065
33. path_depth: 0.000449 ± 0.000141
34. at: 0.000363 ± 0.000066
35. fragment_length: 0.000120 ± 0.000042
36. specialchar_to_length_ratio: 0.000002 ± 0.000004
37. se_url: -0.000083 ± 0.000060

--- Group 3 ---
1. url_length: 0.306719 ± 0.000813
2. is_https: 0.161849 ± 0.000794
3. lowercase: 0.160711 ± 0.000668
4. path_length: 0.109548 ± 0.000281
5. hyphens: 0.070628 ± 0.000833
6. query_count: 0.048412 ± 0.000460
7. query_length: 0.046634 ± 0.000240
8. domain_length: 0.046494 ± 0.000737
9. subdomains: 0.046092 ± 0.000672
10. and: 0.029832 ± 0.000416
11. digit_to_length_ratio: 0.029127 ± 0.000293
12. se_domain: 0.024733 ± 0.000584
13. cte_domain: 0.023824 ± 0.000330
14. dots: 0.019058 ± 0.000453
15. digits: 0.018211 ± 0.000152
16. uppercase: 0.012509 ± 0.000123
17. percent: 0.011419 ± 0.000197
18. underscore: 0.011244 ± 0.000338
19. se_path: 0.009878 ± 0.000168
20. char_to_length_ratio: 0.008903 ± 0.000168
21. is_domain_ip: 0.006799 ± 0.000066
22. is_mtld: 0.004309 ± 0.000147
23. question_marks: 0.004102 ± 0.000170
24. equals: 0.002943 ± 0.000233
25. upper_to_lower_ratio: 0.002018 ± 0.000169
26. special_chars: 0.001039 ± 0.000034
27. is_tld_iana_reg: 0.000762 ± 0.000025
28. path_depth: 0.000679 ± 0.000147
29. se_fragment: 0.000641 ± 0.000044
30. tilde: 0.000499 ± 0.000066
31. colons: 0.000451 ± 0.000039
32. at: 0.000319 ± 0.000037
33. se_query: 0.000274 ± 0.000102
34. slashes: 0.000173 ± 0.000108
35. fragment_length: 0.000058 ± 0.000017
36. specialchar_to_length_ratio: 0.000018 ± 0.000023
37. se_url: -0.000062 ± 0.000038


=== Model: LightGBM ===

--- Group 1 ---
1. is_https: 0.105077 ± 0.000745
2. cte_domain: 0.100694 ± 0.000494
3. domain_length: 0.077650 ± 0.000743
4. subdomains: 0.031878 ± 0.000257
5. uppercase: 0.025183 ± 0.000151
6. dots: 0.024476 ± 0.000244
7. hyphens: 0.021793 ± 0.000484
8. digits: 0.018316 ± 0.000353
9. se_domain: 0.012514 ± 0.000149
10. slashes: 0.010057 ± 0.000202
11. equals: 0.008518 ± 0.000276
12. underscore: 0.006566 ± 0.000146
13. path_depth: 0.006437 ± 0.000298
14. query_length: 0.005101 ± 0.000116
15. char_to_length_ratio: 0.005017 ± 0.000157
16. percent: 0.004924 ± 0.000106
17. question_marks: 0.004898 ± 0.000191
18. se_path: 0.004829 ± 0.000164
19. path_length: 0.004598 ± 0.000136
20. is_mtld: 0.003762 ± 0.000095
21. se_query: 0.003468 ± 0.000079
22. upper_to_lower_ratio: 0.003077 ± 0.000227
23. se_url: 0.002989 ± 0.000225
24. digit_to_length_ratio: 0.002966 ± 0.000151
25. is_tld_iana_reg: 0.002001 ± 0.000110
26. query_count: 0.001772 ± 0.000139
27. lowercase: 0.001392 ± 0.000076
28. is_domain_ip: 0.001206 ± 0.000061
29. tilde: 0.000839 ± 0.000075
30. url_length: 0.000839 ± 0.000069
31. at: 0.000692 ± 0.000044
32. colons: 0.000628 ± 0.000040
33. special_chars: 0.000532 ± 0.000027
34. and: 0.000420 ± 0.000037
35. fragment_length: 0.000351 ± 0.000047
36. specialchar_to_length_ratio: 0.000101 ± 0.000018
37. se_fragment: 0.000000 ± 0.000000

--- Group 2 ---
1. is_https: 0.103698 ± 0.000393
2. cte_domain: 0.102276 ± 0.000589
3. domain_length: 0.076046 ± 0.000620
4. subdomains: 0.032944 ± 0.000166
5. uppercase: 0.025488 ± 0.000313
6. dots: 0.024411 ± 0.000225
7. hyphens: 0.023898 ± 0.000299
8. digits: 0.020266 ± 0.000369
9. slashes: 0.010254 ± 0.000161
10. se_domain: 0.009893 ± 0.000330
11. equals: 0.006887 ± 0.000206
12. path_depth: 0.006881 ± 0.000157
13. underscore: 0.006041 ± 0.000163
14. char_to_length_ratio: 0.005506 ± 0.000094
15. se_path: 0.005217 ± 0.000137
16. percent: 0.005130 ± 0.000141
17. question_marks: 0.005062 ± 0.000191
18. path_length: 0.004916 ± 0.000151
19. query_length: 0.004516 ± 0.000162
20. is_mtld: 0.004164 ± 0.000184
21. upper_to_lower_ratio: 0.003487 ± 0.000328
22. digit_to_length_ratio: 0.003297 ± 0.000106
23. se_url: 0.002891 ± 0.000128
24. se_query: 0.002692 ± 0.000187
25. is_tld_iana_reg: 0.001942 ± 0.000128
