2.021914949490676572e-01,-2.421934830365428115e-01,1.372224023470411947e-01,-2.609497350182359704e-02,8.274781320013997743e-02,-5.383269543059069490e-02,1.185908447608132327e-01,-1.463989974205854583e-01,3.673901416593959579e-02,9.464893724679489251e-02,1.945508078451129233e-02,2.328620822332408968e-01,-1.772837584696179969e-01,-3.851304500898102279e-01,1.692258114361377963e-01,-3.975687770577743252e-02,-4.971982617202406335e-02,-3.930341935042015560e-03,-2.832948752163457762e-01
2.595744106254515016e-01,1.391150967141213668e-02,-2.912780217648905934e-01,-1.394410320148675442e-01,1.478672078038160143e-01,-1.602100408197146622e-02,3.312690434072958906e-02,-2.486178234243653987e-02,-1.079493894438528362e-01,-1.027166805633018681e-01,6.019428865389424288e-02,1.689862197382271392e-01,1.044346238352979600e-01,2.986298029018456118e-02,-7.299700773271000642e-02,-8.657279640224743722e-02,1.337791841563785999e-01,-3.250387337567624442e-03,-7.032633533777024604e-02
1.327509385610470827e-01,2.593342049759707058e-01,2.570480088802653551e-01,-3.575983841223386722e-02,1.562907327349651876e-01,-3.717736274324602574e-02,2.657690886260820062e-01,-1.454911898407341697e-01,1.213230460932561011e-01,1.466219484558173858e-01,7.448405306007704896e-02,-9.351025014035210803e-02,5.472808026749977767e-02,-5.152097770142636396e-02,-2.882440162844098763e-01,2.384072755633871443e-01,1.989050466234794923e-01,1.681980627614563795e-01,1.826567645543610285e-01
5.667837137262513730e-02,1.541774179123307775e-01,1.829608936999251312e-01,-2.204927745881316292e-01,-3.870566132557589495e-02,-4.743476139403218078e-03,-4.113335558737558073e-01,2.882747284779993424e-01,-1.191013874118700688e-01,1.080126269697276181e-01,-1.879389942444047168e-01,2.146185171792568125e-01,1.150116293710841675e-01,1.635562325159838903e-01,3.280991501209397088e-01,1.388628259791332142e-01,2.543172281971519122e-01,2.006002488668956196e-01,3.663771747453033467e-01
8.823505893855346227e-02,2.444225383762093154e-02,-8.873384684586128890e-02,-4.567943557653437320e-02,3.929678359209241856e-02,-5.977205531367001112e-02,9.472463896119280580e-02,-1.424208583466813338e-01,2.699759139040805445e-01,6.968537608502877179e-01,-1.477800397876199989e-01,2.581587407666076084e-01,-2.561894232878858535e-01,4.110231039423977162e-01,-7.331686154474918726e-02,-1.798857395478033194e-01,-4.626937013589470238e-02,-2.487166593029987299e-02,-2.503135429374787196e-02
1.783087036391524105e-01,-3.092638302101885159e-03,-1.974140688648891029e-01,3.263468531567362968e-02,6.934530385199969005e-02,3.499370061085829015e-02,6.610268238662204976e-02,2.212092854716314616e-01,1.455077027656696831e-01,2.599029694498097842e-01,-2.331186597333714527e-01,-4.256475188205385285e-01,7.479242054769677517e-02,-3.064653140500952500e-01,1.595096945146227407e-01,-7.857131305657746867e-02,3.794147030936628751e-01,-4.563781145133795070e-01,1.034820876687821550e-01
2.730789078293494598e-01,-1.633714668202283088e-02,6.440041010174873959e-02,3.156487282451157506e-01,-6.887161287400640763e-02,2.094495599237361852e-02,-2.045688241318129597e-01,-8.027562871321580751e-02,-2.030417577845016960e-02,-4.253490756705375839e-03,2.309388141843989051e-02,-5.006790751028219327e-02,1.646908327351036608e-02,3.582018625776185738e-02,-6.493962031417181702e-02,1.927023106039761902e-01,-1.490400546421712935e-01,-2.772182505974150613e-01,-1.147986085974134068e-01
2.294634031319372769e-01,5.952521277769058303e-03,-2.818750464803725930e-01,-1.721784125663392562e-01,1.497281612949185603e-01,-2.359750878410982883e-02,2.767590203490169140e-02,-1.013857962920255013e-01,-1.475927510829310729e-01,-1.614367803539139279e-01,1.248601236741792991e-01,3.086418450164407079e-01,1.370057672549698513e-01,5.721994616697844566e-02,-1.310009207693134947e-01,-9.479986923455853420e-02,1.445536658304359401e-01,-1.574819734861093445e-01,6.163416974419731048e-02
1.373276056802427980e-01,7.904736188522500095e-02,-6.160801303689159014e-02,-1.113989669084157336e-01,5.822241645429662021e-02,1.799167663068727135e-02,-1.131695719553837617e-02,-1.443263329432290798e-01,3.580646113302265315e-02,-3.070591433786812319e-01,2.094202898155066439e-01,-3.316174126793844934e-01,-7.027105170136342949e-01,2.617214232010228736e-01,2.059465629589634639e-01,-9.969234163454529507e-02,1.986420817415151252e-01,2.245703906895758079e-02,1.152454541493714429e-01
2.597031631036789134e-02,3.555924661727185437e-02,3.442903586670176957e-02,7.145084967765853723e-02,3.744140816674042943e-02,-1.244407113938193928e-02,1.795548131856796459e-01,-2.617767114278609086e-01,-1.864638764600350385e-01,-2.819261441903244680e-01,-8.639911927424539506e-01,5.863876497890970624e-02,-1.232284525057094071e-01,3.802954453645669697e-02,-7.482873962655904598e-02,2.067017955703371462e-02,1.283913083331430366e-02,7.443841425069611974e-03,3.326202959723305319e-02
