domain,hash
fff.re,1968341663
jdem.cz,1971494358
migre.me,1973486494
valv.im,1980048765
shorte.st,1983804850
23o.net,1985669754
yep.it,1988537130
clikk.in,1988673847
sharetabs.com,1988738820
rickroll.it,1991759027
kutt.it,1991845110
trkr.ws,2010385818
944.la,2020710649
smll.co,2025518332
bitw.in,2028139857
lp25.fr,2033426560
is.gd,2033901208
sheets.co,2034813729
twit.ac,2040345894
to.ly,2071449758
ff.im,2079488974
krunchd.com,2093616157
hadej.co,2093985383
ppfr.it,2095507023
thinfi.com,2116803714
fon.gs,2123864900
gg.gg,2155409803
goo.gl,2155815537
shortna.me,2164325134
urlx.org,2169003567
xn--kn8h.to,2172966309
shy.si,2175702389
urlz.fr,2196365655
liurl.cn,2202802972
hops.me,2207736857
dolp.cc,2222085051
x.se,2228650855
lvvk.com,2237522165
0rz.tw,2244568798
klck.me,2248580616
yyv.co,2255990547
x10.mx,2257043606
su.pr,2270576544
hover.com,2280688299
tinyuri.ca,2283587598
inreply.to,2289580831
xrl.in,2293703232
rod.gs,2305637293
dy.fi,2310911921
pdh.co,2312015172
dfl8.me,2319317530
tohle.de,2327919835
3x.si,2357667099
xib.me,2363944812
ptm.ro,2368326116
cur.lv,2371567799
wed.li,2374406670
nov.io,2380994456
xoe.cz,2381971982
zti.me,2388630101
dft.ba,2401594056
git.io,2410511227
s7y.us,2429916051
shorl.com,2430967235
fff.wf,2435589984
spedr.com,2442403958
lc.cx,2444140348
kd2.org,2447432276
lnked.in,2460798350
snsw.us,2468331271
any.gs,2470243690
bc.vc,2471366309
bxl.me,2482243472
u.nu,2489788354
pin.st,2492648852
py6.ru,2497150092
s.id,2499661355
snurl.com,2502186948
lnkd.in,2512668310
zyva.org,2513620087
vd55.com,2525514137
spn.sr,2526408700
cybr.fr,2527342318
turo.us,2539922705
6g6.eu,2542090376
u.mavrev.com,2561579799
bacn.me,2564700215
gurl.es,2569346813
twi.im,2571291843
cc.cc,2577121537
twet.fr,2577165842
9qr.de,2577991216
p.pw,2583070979
parky.tv,2590641977
l.gg,2601383382
urlcut.com,2617390065
5z8.info,2617440251
sturly.com,2618429604
ug.cz,2637339828
make.my,2649151569
7li.in,2662810408
cutt.eu,2665747723
7.ly,2667223517
yweb.com,2669921866
adv.li,2675557676
twirl.at,2696122121
urlhawk.com,2701732043
tin.li,2707418565
hide.my,2715673162
oua.be,2718438637
go2cut.com,2725914358
shrt.st,2729306209
xn--ki8h.ws,2746083985
sqrl.it,2750693017
url.ie,2751195158
lnky.fr,2754513236
tny.im,2762698415
j.gs,2763816567
liip.to,2769402124
ajn.me,2773055831
sk.gy,2780906002
lnk.co,2782918891
piurl.com,2792120856
lcut.in,2794662708
short.pk,2797983935
bote.me,2803209684
to8.cc,2805251530
4i.ae,2806052105
snipr.com,2806131094
past.is,2808342012
budurl.com,2809109011
tnij.org,2809265498
v.ht,2811174716
pnt.me,2816981330
l9.fr,2830921121
1link.in,2842409724
yagoa.me,2846733900
rt.se,2859771761
riz.cz,2874905345
gowat.ch,2880480364
hjkl.fr,2889304316
upzat.com,2895499720
cf2.me,2896856391
ln-s.ru,2901050927
vt802.us,2911336693
posted.at,2929327181
tabzi.com,2930739196
x2c.eu,2935483583
fwd4.me,2945371764
tiny.ms,2970160488
ely.re,2970398553
5em.cz,2973248498
seeme.at,2991424597
2fear.com,2992938541
trunc.it,3006628499
2.ht,3019493462
ezurl.cc,3028613849
vbly.us,3028953019
fhurl.com,3038534013
korta.nu,3049098587
plots.fr,3059821377
dv.gd,3061115419
relink.fr,3068143572
2doc.net,3074770797
9m.no,3086963518
vsll.eu,3093751372
aka.gr,3111529980
easyuri.com,3113357552
6fr.ru,3138411204
tldr.sk,3143148786
lien.li,3143584205
boi.re,3148919470
zxq.net,3153134120
7vd.cn,3160603740
vl.am,3161884192
4view.me,3162813090
shw.me,3162935730
firsturl.de,3173940429
urlbrief.com,3174486595
segue.se,3176245564
flic.kr,3176984007
filz.fr,3184432476
tr.im,3198779364
xn--vi8hl0c.ws,3201112545
lc-s.co,3201257371
qr.net,3219708040
tr.my,3223285405
4url.cc,3237304885
ecra.se,3239261705
blip.tv,3246979874
isra.li,3246988371
al.ly,3250743170
icit.fr,3257024144
b23.ru,3258205814
zsms.net,3261860604
77.ai,3263478627
youfap.me,3272267082
wideo.fr,3272911657
tiny.pl,3278728321
fff.to,3286092807
erax.cz,3288468948
urlkr.com,3294996871
2ad.in,3296775927
url.co.uk,3302289999
ddp.net,3311668971
pm.wu.cz,3312820295
short.to,3318012322
u6e.de,3324913496
om.ly,3327049350
dd.ma,3336661258
8u.cz,3342966616
j.mp,3344615239
wipi.es,3354518401
coinurl.com,3365836205
yagoa.fr,3381324352
short.cc,3388018975
digg.com,3394513752
okok.fr,3399170990
cudder.it,3400240522
ad-med.cz,3405068309
cut.pe,3405317096
twitterpan.com,3406052680
baid.us,3407670778
jijr.com,3409982022
linkbee.com,3410198675
lnks.fr,3415435568
ru.ly,3415446213
2big.at,3424820219
blap.net,3435558638
asso.in,3435818321
iscool.net,3437891755
unlc.us,3439610534
clickmeter.com,3451207452
b54.in,3465584809
2ty.in,3472054599
a.nf,3483543252
ne1.net,3487298553
virl.com,3489775415
urlot.com,3501465137
esyurl.com,3508001818
safe.mn,3510927028
twlr.me,3519025075
twitthis.com,3521976427
starturl.com,3522339230
loopt.us,3525507781
urlpire.com,3527762912
digbig.com,3534896603
myurl.in,3537334214
adf.ly,3537339095
ou.gd,3541136612
ad5.eu,3541816825
cf.ly,3569341574
1wb2.net,3591451512
lnk.ly,3599978869
urlkiss.com,3613982490
adfa.st,3616092946
qlnk.net,3633599584
u.to,3643286627
iky.fr,3650347424
2pl.us,3653593518
short.ie,3665648800
lin.io,3670948931
metamark.net,3681562043
shrinkster.com,3682398962
aqva.pl,3694394413
xzb.cc,3695610501
url2.fr,3695808901
notlong.com,3704244864
bloat.me,3708772688
ayt.fr,3716841458
tny.cz,3717661666
fa.b,3735543692
yfrog.com,3738228789
sdu.sk,3766920928
reise.lc,3767047897
snipurl.com,3768260929
cyonix.to,3789309900
gl.am,3791009810
zoodl.com,3809264391
ares.tl,3818600897
href.li,3820337001
skroc.pl,3820976849
cr.tl,3825363196
xgd.in,3842183773
minilien.com,3843304694
libero.it,3862512752
easyurl.net,3878571161
icanhaz.com,3879624870
sh.st,3882567188
zapit.nu,3891040806
lnk.sk,3899666083
goshrink.com,3920317541
cachor.ro,3923531385
ilix.in,3929764733
adli.pw,3936944421
adjix.com,3946122950
cn86.org,3946724592
